"tlaID","wikidataID","transliterationLUT","hieroglyphs","lexicalCategoryID","lexicalCategory","additionalLexicalCategoryID","additionalLexicalCategory","genderID","gender","referentTypeID","referentType","senses","sensesLanguage"
"851622","L1383490","tꜣ","𓏏𓄿","Q36224","pronoun","Q34793275","demonstrative pronoun","","","","","[dem. pron. sing. f.]; [article sing. f.]","EN"
"168880","L1384737","tꜣ","𓏏𓍔","Q1084","noun","","","Q499327","masculine","","","kiln","EN"
"168920","L1388427","tꜣ","𓏏𓍔𓄿𓄛","Q1084","noun","","","Q499327","masculine","","","[a sacrifical animal]","EN"
"863027","L1387868","tꜣ","","Q1084","noun","","","Q499327","masculine","","","[officinal use (pharm.)]","EN"
"854574","L1387459","tꜣ","","Q24905","verb","","","","","","","to be hot; to burn up","EN"
"168910","L1389907","tꜣ","𓏏𓍔𓉪","Q1084","noun","","","Q499327","masculine","","","(main) gateway; (main) door (of a temple)","EN"
"169400","L1395676","tꜣ.yt","𓏏𓍔𓄿𓇋𓇋𓏏𓊮","Q1084","noun","","","Q1775415","feminine","","","heat","EN"
"168940","L1387563","tꜣ.w","𓏏𓍔𓄿𓅱𓊮","Q1084","noun","","","Q499327","masculine","","","hothead","EN"
"168950","L1382442","tꜣ.w","𓏏𓍔𓄿𓅱𓊮","Q1084","noun","","","Q499327","masculine","","","heat","EN"
"168970","L1391340","Tꜣ.wꞽ","𓇾𓇾","Q147276","proper noun","Q7884789","toponym","","","","","the Two-lands (Egypt)","EN"
"857949","L1396875","tꜣ.wïy","","Q1084","noun","","","Q499327","masculine","","","inhabitants of the two lands","EN"
"858686","L1394540","tꜣ.wï-tm","","Q1084","noun","","","Q499327","masculine","","","humankind (""the two lands alltogether"")","EN"
"857962","L1396873","tꜣ.tï","","Q1084","noun","","","Q499327","masculine","","","one belonging to the gate","EN"
"856140","L1396154","tꜣ.tï-zꜣb-ṯꜣ.tï","","Q1084","noun","","","Q499327","masculine","","","vizier","EN"
"857963","L1396874","tꜣ.tï-ṯꜣ.tï","","Q1084","noun","","","Q499327","masculine","","","vizier","EN"
"857964","L1396152","tꜣ.tï-ṯꜣ.tï-zꜣb","","Q1084","noun","","","Q499327","masculine","","","vizier","EN"
"168990","L1395579","tꜣ-ꜣḫ.tïw","","Q1084","noun","","","Q499327","masculine","","","land of the horizon-dwellers","EN"
"169010","L1396880","tꜣ-ꞽꜣb.tï","𓇾𓏤𓈅𓋁𓃀𓏏𓏭","Q1084","noun","","","Q499327","masculine","","","east","EN"
"169020","L1395578","tꜣ-ꞽmn.tï","𓇿𓏤𓈅𓋀𓏏𓏭𓈅𓏤","Q1084","noun","","","Q499327","masculine","","","west","EN"
"857951","L1393623","tꜣ-ꜥꜣ","","Q1084","noun","","","Q499327","masculine","","","port side","EN"
"857952","L1393624","tꜣ-ꜥꜣ","","Q1084","noun","","","Q499327","masculine","","","the port sided ones","EN"
"857953","L1393625","tꜣ-ꜥꜣ-wr","","Q1084","noun","","","Q499327","masculine","","","port (ship)","EN"
"169060","L1387292","tꜣ-ꜥnḫ","","Q1084","noun","","","Q499327","masculine","","","land of life (necropolis)","EN"
"859949","L1393616","tꜣ-wnm.t-sr.t","","Q1084","noun","","","Q1775415","feminine","","","geese pasture","EN"
"550364","L1385401","Tꜣ-wr","𓇾𓅨𓋅","Q147276","proper noun","Q7884789","toponym","","","","","Thinis (8th nome of Upper Egypt)","EN"
"169082","L1385744","tꜣ-wr","𓉫𓅨𓂋","Q1084","noun","","","Q499327","masculine","","","east side; left side","EN"
"169080","L1385647","tꜣ-wr","𓉫𓅨𓂋","Q1084","noun","","","Q499327","masculine","","","larboard (left) side (of a boat)","EN"
"169081","L1385635","tꜣ-wr","𓉫𓅨𓂋","Q1084","noun","","","Q499327","masculine","","","Larboard (a phyle of funerary priests)","EN"
"870812","L1393617","tꜣ-wr","","Q1084","noun","","","Q499327","masculine","","","the ones on the port side","EN"
"600085","L1386033","Tꜣ-wr.t","𓏏𓄿𓅨𓂋𓏏𓆗","Q147276","proper noun","Q115642037","deity name","","","","","Taweret","EN"
"857956","L1393618","tꜣ-wr-ꜥꜣ","","Q1084","noun","","","Q499327","masculine","","","port (ship)","EN"
"857957","L1393619","tꜣ-wr-ꜥꜣ","","Q1084","noun","","","Q499327","masculine","","","the ones on the port side","EN"
"857958","L1393620","tꜣ-wr-ꜥꜣ.t","","Q1084","noun","","","Q499327","masculine","","","port (ship)","EN"
"853479","L1391106","Tꜣ-wsr.t","","Q147276","proper noun","Q115642102","royal name","","","","","Ta-useret (queen)","EN"
"169090","L1389015","tꜣ-bnr.w","","Q1084","noun","","","Q499327","masculine","","","foreign land; foreign country","EN"
"851430","L1389017","tꜣ-m-kk.w","","Q1084","noun","","","Q499327","masculine","","","land in darkness (Underworld)","EN"
"169110","L1391484","Tꜣ-mrꞽ","𓇾𓌸𓂋𓇋𓆵𓊖","Q147276","proper noun","Q7884789","toponym","","","","","Beloved-land (Egypt)","EN"
"857567","L1394640","tꜣ-mrꞽ.ï","","Q1084","noun","","","Q499327","masculine","","","Egyptian","EN"
"169120","L1385388","Tꜣ-mḥ.w","𓇾𓎔𓎛𓅱𓇇","Q147276","proper noun","Q7884789","toponym","","","","","Lower Egypt; delta","EN"
"550052","L1387567","tꜣ-n.t","𓍘𓈖𓏏","Q36224","pronoun","Q34793275","demonstrative pronoun","","","","","she of","EN"
"863801","L1387871","tꜣ-n.t-ꜥꜣm.w","","Q1084","noun","","","Q1775415","feminine","","","Asiatic disease","EN"
"850297","L1385526","tꜣ-n.t-ḥtr","𓍘𓈖𓏏𓎛𓏏𓂋𓇋𓆵𓄛𓏪","Q1084","noun","","","Q1775415","feminine","","","chariot troops","EN"
"169130","L1386589","Tꜣ-n-Ꞽtm.w","","Q147276","proper noun","Q7884789","toponym","","","","","land of Atum (Dendera)","EN"
"851349","L1386980","tꜣ-n-nḥḥ","","Q1084","noun","","","Q499327","masculine","","","land of eternity (term for the realm of the dead)","EN"
"851406","L1396157","tꜣ-n-šṯy.t","","Q1084","noun","","","Q499327","masculine","","","land of crypts (Underworld)","EN"
"169180","L1385435","tꜣ-nṯr","𓊹𓇾𓈉","Q1084","noun","","","Q499327","masculine","","","god's land (Punt; incense land)","EN"
"855230","L1386780","tꜣ-rʾ","","Q1084","noun","","","Q499327","masculine","","","hot mouth","EN"
"169200","L1385477","Tꜣ-rr","𓇾𓂋𓂋𓏏𓊖","Q147276","proper noun","Q7884789","toponym","","","","","Tarer (Dendera)","EN"
"169220","L1385611","tꜣ-rd","𓇿𓂋𓂧𓂾𓊍","Q1084","noun","","","Q499327","masculine","","","stairway; ramp","EN"
"870815","L1396879","tꜣ-rd.wï","","Q1084","noun","","","Q499327","masculine","","","staircase; ramp","EN"
"852817","L1387291","tꜣ-ḥꜣ.t","","Q380057","adverb","","","","","","","earlier; formerly","EN"
"858553","L1391098","tꜣ-ḥwꜣ.t","","Q1084","noun","","","Q1775415","feminine","","","[derogatory term for a woman]","EN"
"858823","L1387870","tꜣ-ḥr-ndb.t=f","","Q1084","noun","","","Q499327","masculine","","","the entire earth","EN"
"169230","L1389912","tꜣ-ḥḏ","𓇾𓈇𓏤𓌉𓆓𓇳𓉐","Q1084","noun","","","Q499327","masculine","","","paved or screed room","EN"
"851302","L1389016","tꜣ-ẖ.t","","Q1084","noun","","","Q499327","masculine","","","hot one (""hot bodied one"")","EN"
